zip_code,zip_type,ZCTA,borough,name,land_area_acres,population_count,people_per_acre,median_income,income_margin_of_error,percent_low_education,percent_vacant_units,percent_pre1950_units
10177,S,10177,Manhattan,10177,1.34,0,0,0,0,0.0,0.0,0.0
10178,S,10016,Manhattan,10178,340.6,54183,159.08,101979,4073,2.9,15.4,31.3
10179,U,10017,Manhattan,10179,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10185,P,10036,Manhattan,10185,283.71,24711,87.1,64013,5276,6.3,15.5,39.4
10199,S,10199,Manhattan,10199,16.49,9,0.55,0,0,0.0,0.0,0.0
10203,U,10006,Manhattan,10203,58.76,3011,51.24,115787,24791,1.5,21.3,62.6
10211,U,10003,Manhattan,10211,368.94,56024,151.85,91767,5086,3.4,11.8,60.0
10212,U,10007,Manhattan,10212,104.62,6988,66.8,210125,38367,7.8,13.0,27.9
10213,U,10013,Manhattan,10213,353.48,27700,78.36,68790,8565,19.0,18.8,68.1
10242,P,10007,Manhattan,10242,104.62,6988,66.8,210125,38367,7.8,13.0,27.9
10249,P,10007,Manhattan,10249,104.62,6988,66.8,210125,38367,7.8,13.0,27.9
10256,U,10006,Manhattan,10256,58.76,3011,51.24,115787,24791,1.5,21.3,62.6
10257,U,10038,Manhattan,10257,190.46,20300,106.58,65934,5696,16.2,9.6,36.1
10258,U,10007,Manhattan,10258,104.62,6988,66.8,210125,38367,7.8,13.0,27.9
10259,U,10017,Manhattan,10259,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10260,U,10005,Manhattan,10260,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
10261,U,10017,Manhattan,10261,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10265,U,10005,Manhattan,10265,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
10268,P,10005,Manhattan,10268,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
10269,U,10005,Manhattan,10269,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
10270,S,10005,Manhattan,10270,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
10271,S,10271,Manhattan,10271,1.68,0,0,0,0,0.0,0.0,0.0
10272,P,10038,Manhattan,10272,190.46,20300,106.58,65934,5696,16.2,9.6,36.1
10273,U,10038,Manhattan,10273,190.46,20300,106.58,65934,5696,16.2,9.6,36.1
10274,P,10004,Manhattan,10274,358.25,3089,8.62,127281,22042,1.8,24.2,76.5
10275,U,10004,Manhattan,10275,358.25,3089,8.62,127281,22042,1.8,24.2,76.5
10276,P,10003,Manhattan,10276,368.94,56024,151.85,91767,5086,3.4,11.8,60.0
10277,U,10007,Manhattan,10277,104.62,6988,66.8,210125,38367,7.8,13.0,27.9
10278,S,10278,Manhattan,10278,8.31,0,0,0,0,0.0,0.0,0.0
10279,S,10279,Manhattan,10279,2.67,0,0,0,0,0.0,0.0,0.0
10280,S,10280,Manhattan,10280 - Battery Park City,88.63,7853,88.61,125830,11961,2.4,20.6,1.1
10281,S,10280,Manhattan,10281,88.63,7853,88.61,125830,11961,2.4,20.6,1.1
10282,S,10282,Manhattan,10282,55.99,4783,85.43,233409,31582,1.9,10.3,0.6
10285,U,10280,Manhattan,10285,88.63,7853,88.61,125830,11961,2.4,20.6,1.1
10286,U,10005,Manhattan,10286,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
