ZCTA,median_income,margin_of_error
14212,26395,3822
14213,23275,3033
14214,36970,4046
14215,30473,2134
14216,45805,3612
14217,50188,3364
14218,37256,3333
14219,47669,3707
14220,46976,3712
14221,75702,2952
14222,48295,6106
14223,57756,4074
14224,57038,2321
14225,45443,1909
14226,60622,3142
14227,49442,2800
14228,46692,4016
14261,,
14301,24706,2292
14302,,
14303,27240,3040
14304,47484,3233
14305,34208,2716
14411,48678,6831
14414,63889,3668
14415,32368,24365
14416,61145,2637
14418,49205,17092
14420,55069,5291
14422,68500,8919
14423,59674,8054
14424,55373,4510
14425,57441,5448
14427,46207,4837
14428,59350,3970
14432,50503,7183
14433,49173,4548
14435,71213,5480
14437,48696,5348
14441,48375,10555
14445,49049,5704
14450,75970,3007
14454,49583,9428
14456,45190,2563
14462,52109,8623
14464,61988,4837
14466,53359,11433
14467,66069,3961
14468,64006,4771
14469,59213,4579
14470,53292,5063
14471,47125,11654
14472,87109,9053
14475,50833,33819
14476,60489,6478
14477,54786,10980
14478,40563,8801
14479,62821,25109
14480,46154,29993
14481,58981,5903
14482,57453,5544
14485,49831,7816
