Created Date,Incident Zip,Borough
06/14/2011 12:00:00 AM,10314,STATEN ISLAND
06/14/2011 12:00:00 AM,11216,BROOKLYN
06/14/2011 12:00:00 AM,10029,MANHATTAN
06/14/2011 12:00:00 AM,10025,MANHATTAN
06/14/2011 12:00:00 AM,10025,MANHATTAN
06/14/2011 12:00:00 AM,10032,MANHATTAN
06/14/2011 12:00:00 AM,11434,QUEENS
06/14/2011 12:00:00 AM,11213,BROOKLYN
06/14/2011 12:00:00 AM,10462,BRONX
06/14/2011 12:00:00 AM,10128,MANHATTAN
06/14/2011 12:00:00 AM,10475,BRONX
06/14/2011 12:00:00 AM,11358,QUEENS
06/14/2011 12:00:00 AM,11434,QUEENS
06/14/2011 12:00:00 AM,11213,BROOKLYN
06/14/2011 12:00:00 AM,11238,BROOKLYN
06/14/2011 12:00:00 AM,10009,MANHATTAN
06/14/2011 12:00:00 AM,11210,BROOKLYN
06/14/2011 12:00:00 AM,11216,BROOKLYN
06/14/2011 12:00:00 AM,11201,BROOKLYN
06/14/2011 12:00:00 AM,11233,BROOKLYN
06/14/2011 12:00:00 AM,11692,QUEENS
06/14/2011 12:00:00 AM,10032,MANHATTAN
06/14/2011 12:00:00 AM,11221,BROOKLYN
06/14/2011 12:00:00 AM,11221,BROOKLYN
06/14/2011 12:00:00 AM,11235,BROOKLYN
06/14/2011 12:00:00 AM,11419,QUEENS
06/14/2011 12:00:00 AM,11207,BROOKLYN
06/14/2011 12:00:00 AM,11217,BROOKLYN
06/14/2011 12:00:00 AM,10467,BRONX
06/14/2011 12:00:00 AM,11212,BROOKLYN
06/14/2011 12:00:00 AM,10021,MANHATTAN
06/14/2011 12:00:00 AM,10451,BRONX
06/14/2011 12:00:00 AM,10026,MANHATTAN
06/14/2011 12:00:00 AM,10065,MANHATTAN
06/14/2011 12:00:00 AM,11367,QUEENS
06/14/2011 12:00:00 AM,10030,MANHATTAN
06/14/2011 12:00:00 AM,11212,BROOKLYN
06/14/2011 12:00:00 AM,10453,BRONX
06/14/2011 12:00:00 AM,11214,BROOKLYN
06/14/2011 12:00:00 AM,10305,STATEN ISLAND
06/14/2011 12:00:00 AM,10467,BRONX
06/14/2011 12:00:00 AM,10459,BRONX
06/14/2011 12:00:00 AM,10309,STATEN ISLAND
06/14/2011 12:00:00 AM,10128,MANHATTAN
06/15/2011 12:00:00 AM,10312,STATEN ISLAND
06/15/2011 12:00:00 AM,10451,BRONX
06/15/2011 12:00:00 AM,10314,STATEN ISLAND
06/15/2011 12:00:00 AM,11215,BROOKLYN
06/15/2011 12:00:00 AM,11412,QUEENS
06/15/2011 12:00:00 AM,11203,BROOKLYN
06/15/2011 12:00:00 AM,10309,STATEN ISLAND
06/15/2011 12:00:00 AM,11222,BROOKLYN
06/15/2011 12:00:00 AM,11216,BROOKLYN
06/15/2011 12:00:00 AM,10314,STATEN ISLAND
06/15/2011 12:00:00 AM,10025,MANHATTAN
06/15/2011 12:00:00 AM,11434,QUEENS
06/15/2011 12:00:00 AM,10002,MANHATTAN
06/15/2011 12:00:00 AM,10002,MANHATTAN
06/15/2011 12:00:00 AM,11225,BROOKLYN
06/15/2011 12:00:00 AM,11211,BROOKLYN
06/15/2011 12:00:00 AM,10025,MANHATTAN
06/15/2011 12:00:00 AM,10456,BRONX
06/15/2011 12:00:00 AM,11219,BROOKLYN
06/15/2011 12:00:00 AM,11203,BROOKLYN
06/15/2011 12:00:00 AM,11213,BROOKLYN
06/15/2011 12:00:00 AM,10463,BRONX
06/15/2011 12:00:00 AM,11215,BROOKLYN
06/15/2011 12:00:00 AM,11379,QUEENS
06/15/2011 12:00:00 AM,11374,QUEENS
06/15/2011 12:00:00 AM,10467,BRONX
06/15/2011 12:00:00 AM,11213,BROOKLYN
06/15/2011 12:00:00 AM,11203,BROOKLYN
06/15/2011 12:00:00 AM,10472,BRONX
06/15/2011 12:00:00 AM,11201,BROOKLYN
06/15/2011 12:00:00 AM,11385,QUEENS
06/15/2011 12:00:00 AM,11434,QUEENS
06/15/2011 12:00:00 AM,11221,BROOKLYN
06/15/2011 12:00:00 AM,10027,MANHATTAN
06/15/2011 12:00:00 AM,11212,BROOKLYN
06/15/2011 12:00:00 AM,11432,QUEENS
06/15/2011 12:00:00 AM,11201,BROOKLYN
06/15/2011 12:00:00 AM,10027,MANHATTAN
06/15/2011 12:00:00 AM,11385,QUEENS
06/15/2011 12:00:00 AM,10027,MANHATTAN
06/15/2011 12:00:00 AM,11210,BROOKLYN
06/15/2011 12:00:00 AM,10027,MANHATTAN
06/15/2011 12:00:00 AM,10038,MANHATTAN
06/15/2011 12:00:00 AM,10021,MANHATTAN
06/15/2011 12:00:00 AM,11435,QUEENS
06/15/2011 12:00:00 AM,11385,QUEENS
06/15/2011 12:00:00 AM,11221,BROOKLYN
06/16/2011 12:00:00 AM,11215,BROOKLYN
06/16/2011 12:00:00 AM,11222,BROOKLYN
06/16/2011 12:00:00 AM,11222,BROOKLYN
06/16/2011 12:00:00 AM,11105,QUEENS
06/16/2011 12:00:00 AM,10458,BRONX
06/16/2011 12:00:00 AM,11433,QUEENS
06/16/2011 12:00:00 AM,11434,QUEENS
06/16/2011 12:00:00 AM,10451,BRONX
06/16/2011 12:00:00 AM,11233,BROOKLYN
06/16/2011 12:00:00 AM,10012,MANHATTAN
06/16/2011 12:00:00 AM,11106,QUEENS
06/16/2011 12:00:00 AM,11224,BROOKLYN
06/16/2011 12:00:00 AM,10038,MANHATTAN
06/16/2011 12:00:00 AM,11373,QUEENS
06/16/2011 12:00:00 AM,11223,BROOKLYN
06/16/2011 12:00:00 AM,10025,MANHATTAN
06/16/2011 12:00:00 AM,10303,STATEN ISLAND
